iter	Passed	Remaining
648	4070	2201
649	4076	2195
650	4082	2188
651	4088	2182
652	4094	2175
653	4100	2169
654	4106	2162
655	4112	2156
656	4118	2150
657	4124	2143
658	4129	2137
659	4136	2130
660	4142	2124
661	4148	2117
662	4154	2111
663	4160	2105
664	4166	2098
665	4172	2092
666	4178	2086
667	4184	2079
668	4190	2073
669	4196	2067
670	4202	2060
671	4208	2054
672	4215	2048
673	4221	2041
674	4227	2035
675	4233	2029
676	4239	2022
677	4245	2016
678	4251	2009
679	4257	2003
680	4263	1997
681	4269	1990
682	4276	1984
683	4282	1978
684	4287	1971
685	4293	1965
686	4299	1958
687	4305	1952
688	4310	1945
689	4316	1939
690	4322	1932
691	4328	1926
692	4334	1919
693	4339	1913
694	4345	1907
695	4351	1900
696	4357	1894
697	4363	1888
698	4370	1881
699	4375	1875
700	4381	1869
701	4387	1862
702	4393	1856
703	4399	1849
704	4406	1843
705	4413	1837
706	4420	1831
707	4427	1826
708	4434	1820
709	4441	1814
710	4449	1808
711	4455	1802
712	4460	1795
713	4467	1789
714	4473	1783
715	4480	1777
716	4486	1770
717	4492	1764
718	4498	1758
719	4504	1751
720	4509	1745
721	4515	1738
722	4521	1732
723	4527	1725
724	4533	1719
725	4539	1713
726	4545	1706
727	4550	1700
728	4556	1693
729	4563	1687
730	4569	1681
731	4576	1675
732	4582	1669
733	4588	1662
734	4594	1656
735	4600	1650
736	4606	1643
737	4613	1637
738	4619	1631
739	4625	1625
740	4631	1618
741	4637	1612
742	4643	1606
743	4649	1599
744	4654	1593
745	4661	1587
746	4666	1580
747	4672	1574
748	4678	1567
749	4684	1561
750	4690	1555
751	4695	1548
752	4701	1542
753	4707	1535
754	4713	1529
755	4719	1523
756	4725	1516
757	4731	1510
758	4737	1504
759	4743	1497
760	4748	1491
761	4754	1485
762	4760	1478
763	4766	1472
764	4772	1466
765	4778	1459
766	4784	1453
767	4790	1447
768	4796	1440
769	4802	1434
770	4808	1428
771	4814	1421
772	4821	1415
773	4827	1409
774	4833	1403
775	4839	1396
776	4845	1390
777	4850	1384
778	4857	1378
779	4863	1371
780	4869	1365
781	4875	1359
782	4881	1352
783	4887	1346
784	4892	1340
785	4898	1333
786	4904	1327
787	4910	1321
788	4915	1314
789	4921	1308
790	4928	1302
791	4933	1295
792	4939	1289
793	4945	1283
794	4951	1276
795	4957	1270
796	4963	1264
797	4969	1257
798	4975	1251
799	4981	1245
800	4987	1238
801	4993	1232
802	4999	1226
803	5005	1220
804	5012	1214
805	5018	1207
806	5024	1201
807	5030	1195
808	5036	1189
809	5042	1182
810	5048	1176
811	5053	1170
812	5060	1163
813	5066	1157
814	5072	1151
815	5078	1145
816	5083	1138
817	5089	1132
818	5095	1126
819	5101	1119
820	5106	1113
821	5112	1107
822	5118	1100
823	5124	1094
824	5130	1088
825	5136	1081
826	5141	1075
827	5147	1069
828	5153	1063
829	5159	1056
830	5165	1050
831	5171	1044
832	5177	1037
833	5182	1031
834	5188	1025
835	5193	1018
836	5200	1012
837	5206	1006
838	5213	1000
839	5219	994
840	5225	987
841	5231	981
842	5238	975
843	5244	969
844	5250	963
845	5257	956
846	5263	950
847	5270	944
848	5276	938
849	5283	932
850	5289	926
851	5295	919
852	5301	913
853	5307	907
854	5313	901
855	5319	894
856	5325	888
857	5330	882
858	5336	876
859	5342	869
860	5349	863
861	5355	857
862	5361	851
863	5366	844
864	5373	838
865	5378	832
866	5384	826
867	5390	819
868	5396	813
869	5402	807
870	5409	801
871	5415	794
872	5421	788
873	5427	782
874	5433	776
875	5439	770
876	5446	763
877	5452	757
878	5458	751
879	5464	745
880	5470	738
881	5476	732
882	5481	726
883	5487	720
884	5493	713
885	5499	707
886	5505	701
887	5511	695
888	5516	688
889	5522	682
890	5528	676
891	5534	670
892	5541	663
893	5547	657
894	5553	651
895	5560	645
896	5565	639
897	5571	632
898	5577	626
899	5583	620
900	5589	614
901	5595	607
902	5601	601
903	5607	595
904	5613	589
905	5620	583
906	5625	576
907	5631	570
908	5637	564
909	5643	558
910	5649	551
911	5655	545
912	5661	539
913	5667	533
914	5673	527
915	5678	520
916	5684	514
917	5690	508
918	5696	502
919	5702	495
920	5708	489
921	5714	483
922	5720	477
923	5726	470
924	5732	464
925	5737	458
926	5743	452
927	5750	446
928	5756	439
929	5762	433
930	5768	427
931	5774	421
932	5780	415
933	5785	408
934	5791	402
935	5797	396
936	5803	390
937	5809	384
938	5815	377
939	5821	371
940	5827	365
941	5833	359
942	5839	352
943	5846	346
944	5851	340
945	5857	334
946	5863	328
947	5869	321
948	5876	315
949	5881	309
950	5887	303
951	5893	297
952	5899	290
953	5906	284
954	5912	278
955	5918	272
956	5924	266
957	5930	259
958	5936	253
959	5943	247
960	5949	241
961	5955	235
962	5961	229
963	5967	222
964	5973	216
965	5979	210
966	5984	204
967	5991	198
968	5997	191
969	6003	185
970	6009	179
971	6015	173
972	6021	167
973	6027	160
974	6034	154
975	6040	148
976	6045	142
977	6051	136
978	6057	129
979	6063	123
980	6069	117
981	6075	111
982	6080	105
983	6086	98
984	6092	92
985	6097	86
986	6103	80
987	6109	74
988	6115	68
989	6121	61
990	6127	55
991	6133	49
992	6139	43
993	6145	37
994	6151	30
995	6157	24
996	6163	18
997	6169	12
998	6174	6
999	6180	0
